Problem Instance #, Problem Time (ms), Number of Nodes Expanded, Solution Length:
1, 1.0, 18, 14
2, 0.0, 5, 5
3, 0.0, 11, 10
4, 0.0, 6, 6
5, 1.0, 18, 12
6, 0.0, 11, 10
7, 0.0, 9, 9
8, 1.0, 11, 10
9, 0.0, 2, 2
10, 1.0, 18, 12
11, 0.0, 5, 5
12, 0.0, 2, 2
13, 1.0, 14, 12
14, 1.0, 18, 14
15, 1.0, 16, 12
16, 0.0, 11, 10
17, 1.0, 18, 12
18, 1.0, 17, 13
19, 0.0, 15, 11
20, 1.0, 16, 12
21, 1.0, 15, 11
22, 0.0, 10, 10
23, 0.0, 8, 8
24, 0.0, 1, 1
25, 1.0, 8, 8
26, 0.0, 3, 3
27, 0.0, 8, 8
28, 0.0, 5, 5
29, 1.0, 18, 14
30, 0.0, 6, 6
31, 0.0, 7, 7
32, 1.0, 6, 6
33, 0.0, 9, 9
34, 0.0, 5, 5
35, 1.0, 15, 11
36, 0.0, 11, 10
37, 5.0, 6, 6
38, 3.0, 16, 13
39, 1.0, 13, 10
40, 0.0, 10, 10
41, 0.0, 4, 4
42, 0.0, 13, 10
43, 1.0, 11, 10
44, 0.0, 7, 7
45, 0.0, 11, 10
46, 0.0, 1, 1
47, 0.0, 6, 6
48, 1.0, 14, 11
49, 0.0, 7, 7
50, 0.0, 7, 7
51, 0.0, 6, 6
52, 1.0, 16, 12
53, 0.0, 13, 10
54, 1.0, 13, 12
55, 0.0, 6, 6
56, 1.0, 18, 14
57, 0.0, 3, 3
58, 0.0, 6, 6
59, 0.0, 18, 14
60, 0.0, 11, 10
61, 0.0, 15, 11
62, 0.0, 5, 5
63, 1.0, 7, 7
64, 0.0, 3, 3
65, 0.0, 10, 9
66, 0.0, 3, 3
67, 0.0, 10, 9
68, 1.0, 10, 9
69, 0.0, 9, 9
70, 0.0, 14, 11
71, 1.0, 6, 6
72, 0.0, 16, 12
73, 0.0, 2, 2
74, 0.0, 6, 6
75, 1.0, 14, 11
76, 0.0, 16, 13
77, 0.0, 16, 12
78, 1.0, 15, 11
79, 0.0, 8, 8
80, 0.0, 4, 4
81, 0.0, 4, 4
82, 0.0, 4, 4
83, 0.0, 6, 6
84, 1.0, 14, 11
85, 0.0, 6, 6
86, 0.0, 4, 4
87, 1.0, 16, 12
88, 0.0, 10, 9
89, 0.0, 3, 3
90, 0.0, 5, 5
91, 0.0, 2, 2
92, 1.0, 10, 10
93, 0.0, 6, 6
94, 0.0, 1, 1
95, 0.0, 16, 12
96, 1.0, 1, 1
97, 0.0, 15, 11
98, 0.0, 3, 3
99, 0.0, 8, 8
100, 0.0, 3, 3
